GENEID	GENENAME	GENEDESCRP	METABOLIC
YDL052C	SLC1	SphingoLipid Compensation	Yeast7.6
YKL108W	SLD2	Synthetically Lethal with Dpb11-1	NA
YGL113W	SLD3	Synthetically Lethal with Dpb11-1	NA
YDR489W	SLD5	Synthetic Lethality with Dpb11-1	NA
YOR060C	SLD7	Synthetic Lethality with Dpb11-24	NA
YDR515W	SLF1	SuLFide production	NA
YOR008C	SLG1	Synthetic Lethal with Gap	NA
YGR271W	SLH1	SKI2-Like Helicase	NA
YGR212W	SLI1	Sphingosine-Like Immunosuppressant resistant gene	NA
YBR156C	SLI15	Synthetically Lethal with Ipl1	NA
YOR195W	SLK19	Synthetic Lethal Kar3p	NA
YIL105C	SLM1	Synthetic Lethal with Mss4	NA
YNL047C	SLM2	Synthetic Lethal with Mss4	NA
YDL033C	SLM3	Synthetic Lethal with Mss4	NA
YBR077C	SLM4	Synthetic Lethal with Mss4	NA
YCR024C	SLM5	Synthetic Lethal with Mss4	Yeast7.6
YBR266C	SLM6	Synthetic Lethal with Mss4	NA
YIL147C	SLN1	Synthetic Lethal of N-end rule	NA
YER180C-A	SLO1	Scoco-Like Orf	NA
YOR154W	SLP1	SUN-Like Protein	NA
YLR139C	SLS1	Synthetic Lethal with SSM4	NA
YHR030C	SLT2	Suppressor of the LyTic phenotype	NA
YDR088C	SLU7	Synergistic Lethal with U5 snRNA	NA
YBR228W	SLX1	Synthetic Lethal of unknown (X) function	NA
YLR135W	SLX4	Synthetic Lethal of unknown (X) function	NA
YDL013W	SLX5	Synthetic Lethal of unknown [X] function	NA
YER116C	SLX8	Synthetic Lethal of unknown (X) function	NA
YGR081C	SLX9		NA
YDR189W	SLY1	Suppressor of Loss of Ypt1	NA
YOR307C	SLY41	Suppressor of Loss of Ypt1	NA
YNL196C	SLZ1		NA
YPL027W	SMA1	Spore Membrane Assembly	NA
YML066C	SMA2	Spore Membrane Assembly	NA
YER029C	SMB1	SmB/B' homolog	NA
YFL008W	SMC1	Stability of MiniChromosomes	NA
YFR031C	SMC2	Structural Maintenance of Chromosomes	NA
YJL074C	SMC3	Stability of MiniChromosomes	NA
YLR086W	SMC4	Structural Maintenance of Chromosomes	NA
YOL034W	SMC5	Structural Maintenance of Chromosomes	NA
YLR383W	SMC6	Structural Maintenance of Chromosomes	NA
YGR074W	SMD1	snRNA Sm binding site protein D1	NA
YLR275W	SMD2		NA
YLR147C	SMD3		NA
YOR159C	SME1	Sm protein E	NA
YOL122C	SMF1	Suppressor of Mitochondria import Function	NA
YHR050W	SMF2	Suppressor of Mitochondria import Function	NA
YLR034C	SMF3		NA
YGR229C	SMI1	Suppressor of MAR Inhibitor	NA
YPR054W	SMK1		NA
YML058W	SML1	Suppressor of Mec1 Lethality	NA
YNR015W	SMM1	Suppressor of Mitochondrial Mutation	NA
YBR182C	SMP1	Second MEF2-like Protein 1	NA
YOR149C	SMP3	Stable Maintenance of pSRI	NA
YDR510W	SMT3	Suppressor of Mif Two	NA
YFL017W-A	SMX2		NA
YPR182W	SMX3		NA
YKL079W	SMY1	Suppressor of MYo2-66	NA
YBR172C	SMY2	Suppressor of MYo2-66	NA
YDR525W-A	SNA2	Sensitivity to NA+	NA
YJL151C	SNA3	Sensitivity to NA+	NA
YDL123W	SNA4	Sensitivity to NA+	NA
YAL030W	SNC1	Suppressor of the Null allele of CAP	NA
YOR327C	SNC2	Suppressor of the Null allele of CAP	NA
YDR186C	SND1	Srp-iNDependent targeting	NA
YDR477W	SNF1	Sucrose NonFermenting	NA
YDR073W	SNF11	Sucrose NonFermenting	NA
YNR023W	SNF12	Sucrose NonFermenting	NA
YOR290C	SNF2	Sucrose NonFermenting	NA
YDL194W	SNF3	Sucrose NonFermenting	NA
YGL115W	SNF4	Sucrose NonFermenting	NA
YBR289W	SNF5	Sucrose NonFermenting	NA
YHL025W	SNF6	Sucrose NonFermenting	NA
YLR025W	SNF7	Sucrose NonFermenting	NA
YPL002C	SNF8	Sucrose NonFermenting	NA
YGR197C	SNG1		NA
YIL016W	SNL1	Suppressor of Nup116-C Lethal	NA
YDR478W	SNM1	Suppressor of Nuclear Mitochondrial endoribonuclease	NA
YNL086W	SNN1	SNapiN	NA
YMR095C	SNO1	SNZ proximal Open reading frame	NA
YNL334C	SNO2	SNZ proximal Open reading frame	NA
YFL060C	SNO3	SNZ proximal Open reading frame	NA
YMR322C	SNO4	SNZ proximal Open reading frame	NA
YIL061C	SNP1		NA
YDR011W	SNQ2	Sensitivity to 4-NitroQuinoline-N-oxide	NA
YCR033W	SNT1	SaNT domains	NA
YGL131C	SNT2		NA
YPR101W	SNT309	Synthetic lethal to prp NineTeen mutation	NA
YKL173W	SNU114	Small NUclear ribonucleoprotein associated	NA
YEL026W	SNU13	Small NUclear ribonucleoprotein associated	NA
YDL098C	SNU23	Small NUclear ribonucleoprotein associated	NA
YDR240C	SNU56	Small NUclear ribonucleoprotein associated	NA
YOR308C	SNU66	Small NUclear ribonucleoprotein associated	NA
YGR013W	SNU71	Small NUclear ribonucleoprotein associated	NA
YOR357C	SNX3	Sorting NeXin	NA
YJL036W	SNX4	Sorting NeXin	NA
YDR425W	SNX41	Sorting NeXin	NA
YMR096W	SNZ1	SNooZe	NA
YNL333W	SNZ2	SNooZe	NA
YFL059W	SNZ3	SNooZe	NA
YJR104C	SOD1	SuperOxide Dismutase	NA
YHR008C	SOD2	SuperOxide Dismutase	NA
YLL011W	SOF1	Suppressor Of Fibrillarin	NA
YOR353C	SOG2		NA
YGL127C	SOH1	Suppressor Of Hpr1	NA
YDR006C	SOK1	Suppressor Of Kinase	NA
YMR016C	SOK2	Suppressor Of Kinase	NA
YNR034W	SOL1	Suppressor Of Los1-1	NA
YCR073W-A	SOL2	Suppressor Of Los1-1	NA
YHR163W	SOL3	Suppressor Of Los1-1	Yeast7.6
YGR248W	SOL4	Suppressor Of Los1-1	Yeast7.6
YEL059C-A	SOM1	SOrting Mitochondrial	NA
YJL192C	SOP4	Suppressor Of Pma1-7	NA
YJR159W	SOR1		Yeast7.6
YDL246C	SOR2		NA
YMR066W	SOV1	Synthesis Of Var	NA
YLL021W	SPA2	Spindle Pole Antigen	NA
YCL054W	SPB1	Suppressor of PaB1 mutant	NA
YFL002C	SPB4	Suppressor of PAB1	NA
YJR010C-A	SPC1	Signal Peptidase Complex	NA
YGL093W	SPC105	Spindle Pole Component	NA
YDR356W	SPC110	Spindle Pole Component	NA
YDR201W	SPC19	Spindle Pole Component	NA
YML055W	SPC2	Signal Peptidase Complex	NA
YMR117C	SPC24	Spindle Pole Component	NA
YER018C	SPC25	Spindle Pole Component	NA
YPL124W	SPC29	Spindle Pole Component	NA
YLR066W	SPC3	Signal Peptidase Complex	NA
YKR037C	SPC34	Spindle Pole Component	NA
YKL042W	SPC42	Spindle Pole Component	NA
YAL047C	SPC72	Spindle Pole Component	NA
YHR172W	SPC97	Spindle Pole Component	NA
YNL126W	SPC98	Spindle Pole Component	NA
YKL184W	SPE1	SPErmidine auxotroph	Yeast7.6
YOL052C	SPE2	SPErmidine auxotroph	Yeast7.6
YPR069C	SPE3	SPErmidine auxotroph	Yeast7.6
YLR146C	SPE4	SPErmidine auxotroph	Yeast7.6
YEL031W	SPF1	Sensitivity to Pichia Farinosa killer toxin	NA
YGR236C	SPG1	Stationary Phase Gene	NA
YDR504C	SPG3	Stationary Phase Gene	NA
YMR107W	SPG4	Stationary Phase Gene	NA
YMR191W	SPG5	Stationary Phase Gene	NA
YLR313C	SPH1	SPa2 Homolog	NA
YER150W	SPI1	Stationary Phase Induced	NA
YHR136C	SPL2	Suppressor of PLc1 deletion	NA
YPR133C	SPN1	Suppresses Postrecruitment functions gene Number 1	NA
YNL012W	SPO1	SPOrulation	NA
YHL022C	SPO11	SPOrulation	NA
YHR152W	SPO12	SPOrulation	NA
YHR014W	SPO13	SPOrulation	NA
YKR031C	SPO14	SPOrulation	Yeast7.6
YHR153C	SPO16	SPOrulation	NA
YPL130W	SPO19	SPOrulation	NA
YMR017W	SPO20	SPOrulation	NA
YOL091W	SPO21	SPOrulation	NA
YIL073C	SPO22	SPOrulation	NA
YBR250W	SPO23	SPOrulation	NA
YPR036W-A	SPO24	SPOrulation	NA
YAL009W	SPO7	SPOrulation	NA
YDR104C	SPO71	SPOrulation	NA
YER046W	SPO73	SPOrulation	NA
YGL170C	SPO74	SPOrulation	NA
YLL005C	SPO75	SPOrulation	NA
YLR341W	SPO77	SPOrulation	NA
YPL138C	SPP1	"Set1c, Phd finger Protein"	NA
YOR148C	SPP2	Suppressor of PrP	NA
YBR152W	SPP381	Suppressor of PrP38-1	NA
YLR424W	SPP382	Suppressor of PrP38 #2	NA
YDR464W	SPP41	Suppressor of PrP4	NA
YOR190W	SPR1	SPorulation Regulated	Yeast7.6
YOR214C	SPR2	SPorulation-Regulated	NA
YDR218C	SPR28	SPorulation Regulated	NA
YGR059W	SPR3	SPorulation Regulated	NA
YER115C	SPR6	SPorulation Regulated	NA
YDR523C	SPS1	SPorulation Specific	NA
YHR139C	SPS100	SPorulation Specific	NA
YNL204C	SPS18	SPorulation-Specific	NA
YNL202W	SPS19	SPorulation-Specific	Yeast7.6
YDR522C	SPS2	SPorulation Specific	NA
YCL048W	SPS22	SPorulation Specific 2 too (2)	NA
YOR313C	SPS4	SPorulation Specific trancript	NA
YJL127C	SPT10	SuPpressor of Ty	NA
YPL175W	SPT14	SuPpressor of Ty	NA
YER148W	SPT15	SuPpressor of Ty insertions	NA
YGL207W	SPT16	SuPpressor of Ty	NA
YER161C	SPT2	SuPpressor of Ty's	NA
YOL148C	SPT20	SuPpressor of Ty	NA
YMR179W	SPT21	SuPpressor of Ty	NA
YKL020C	SPT23	SuPpressor of Ty	NA
YDR392W	SPT3	SuPpressor of Ty's	NA
YGR063C	SPT4	SuPpressor of Ty's	NA
YML010W	SPT5	SuPpressor of Ty's	NA
YGR116W	SPT6	SuPpressor of Ty's	NA
YBR081C	SPT7	SuPpressor of Ty's	NA
YLR055C	SPT8	SuPpressor of Ty	NA
YNL224C	SQS1	SQuelch of Splicing suppression	NA
YIR012W	SQT1	Suppressor of QSR1 Truncations	NA
YHR041C	SRB2	Suppressor of RNA polymerase B	NA
YER022W	SRB4	Suppressor of RNA polymerase B	NA
YGR104C	SRB5	Suppressor of RNA polymerase B	NA
YBR253W	SRB6	Suppressor of RNA polymerase B	NA
YDR308C	SRB7	Suppressor of RNA polymerase B	NA
YCR081W	SRB8	Suppressor of RNA polymerase B	NA
YML034W	SRC1	Spliced mRNA and Cell cycle regulated gene	NA
YCR018C	SRD1		NA
YDL133W	SRF1	Spo14 Regulatory Factor	NA
YOR247W	SRL1	Suppressor of Rad53 null Lethality	NA
YLR082C	SRL2	Suppressor of Rad53 null Lethality	NA
YKR091W	SRL3	Suppressor of rad53 Lethality	NA
YPL033C	SRL4	Suppressor of Rad53 null Lethality or Suppressor of Rad53 and Lcd1	NA
YGL097W	SRM1	Suppressor of Receptor Mutations	NA
YLR119W	SRN2	"Suppressor of Rna mutations, Number 2"	NA
YPR032W	SRO7	Suppressor of rho3	NA
YBL106C	SRO77	Suppressor of rho3	NA
YCL037C	SRO9	Suppressor of rho3	NA
YNL189W	SRP1	Suppressor of Rna Polymerase I	NA
YDR292C	SRP101	Signal Recognition Particle	NA
YKL154W	SRP102	Signal Recognition Particle	NA
YDL092W	SRP14	Signal Recognition Particle	NA
YKL122C	SRP21	Signal Recognition Particle	NA
YKR092C	SRP40	Serine Rich Protein	NA
YPR088C	SRP54	Signal Recognition Particle 54-kD subunit	NA
YPL243W	SRP68	Signal Recognition Particle	NA
YPL210C	SRP72	Signal Recognition Particle	NA
YJL092W	SRS2	Suppressor of Rad Six	NA
YMR101C	SRT1	Suppressor of Rer-Two	Yeast7.6
YNL138W	SRV2	Suppressor of RasVal19	NA
YKL086W	SRX1	SulfiRedoXin	NA
YKL218C	SRY1	Serine Racemase of Yeast	NA
YAL005C	SSA1	Stress-Seventy subfamily A	NA
YLL024C	SSA2	Stress-Seventy subfamily A	NA
YBL075C	SSA3	Stress-Seventy subfamily A	NA
YER103W	SSA4	Stress-Seventy subfamily A	NA
YDL229W	SSB1	Stress-Seventy subfamily B	NA
YNL209W	SSB2	Stress-Seventy subfamily B	NA
YJR045C	SSC1	Stress-Seventy subfamily C	NA
YDR293C	SSD1	Suppressor of SIT4 Deletion	NA
YPL106C	SSE1	Stress Seventy subfamily E	NA
YBR169C	SSE2	Stress Seventy subfamily E	NA
YHR066W	SSF1	Suppressor of ste4 (Four)	NA
YDR312W	SSF2	Suppressor of ste4 (Four)	NA
YBR283C	SSH1	Sec Sixty-one Homolog	NA
YKL124W	SSH4	Suppressor of SHr3 deletion	NA
YLR006C	SSK1	Suppressor of Sensor Kinase	NA
YNR031C	SSK2	Suppressor of Sensor Kinase	NA
YCR073C	SSK22	Suppressor of Sensor Kinase	NA
YLR005W	SSL1	Suppressor of Stem-Loop mutation	NA
YIL143C	SSL2	Suppressor of Stem-Loop mutation	NA
YIL030C	SSM4	Suppressor of mrna Stability Mutant	NA
YDR443C	SSN2	Suppressor of SNf1	NA
YPL042C	SSN3	Suppressor of SNf1	NA
YNL025C	SSN8	Suppressor of SNf1	NA
YPL232W	SSO1	Supressor of Sec One	NA
YMR183C	SSO2	Supressor of Sec One	NA
YHR184W	SSP1		NA
YLR250W	SSP120	Saccharomyces Secretory Protein	NA
YOR242C	SSP2	Sporulation SPecific	NA
YLR369W	SSQ1	Stress-Seventy subfamily Q	NA
YDR086C	SSS1	Sec Sixty-one Suppressor	NA
YLR452C	SST2	SuperSensiTive	NA
YPL092W	SSU1	Sensitive to SUlfite	Yeast7.6
YNL222W	SSU72	"Suppressor of SUa7, gene 2"	NA
YDR160W	SSY1	Sulfonylurea Sensitive on YPD	NA
YJL156C	SSY5	Sulfonylurea Sensitive on YPD	NA
YHR064C	SSZ1		NA
YNL309W	STB1	Sin Three Binding protein	NA
YMR053C	STB2	Sin Three Binding protein	NA
YDR169C	STB3	Sin Three Binding protein	NA
YMR019W	STB4	Sin Three Binding protein	NA
YHR178W	STB5	Sin Three Binding protein	NA
YKL072W	STB6	Sin Three Binding protein	NA
YOR047C	STD1	Suppressor of Tbp Deletion	NA
YLR362W	STE11	STErile	NA
YHR084W	STE12	STErile	NA
YOR219C	STE13	STErile	NA
YDR410C	STE14	STErile	NA
YJR086W	STE18	STErile	NA
YFL026W	STE2	STErile	NA
YHL007C	STE20	STErile	NA
YLR389C	STE23	STErile	NA
YJR117W	STE24	STErile	NA
YKL178C	STE3	STErile	NA
YOR212W	STE4	STErile	NA
YDR103W	STE5	STErile	NA
YCL032W	STE50	STErile	NA
YKL209C	STE6	STErile	NA
YDL159W	STE7	STErile	NA
YDL130W-A	STF1	STabilizing Factor	NA
YGR008C	STF2	STabilizing Factor	NA
YIL126W	STH1	SNF Two Homolog	NA
YOR027W	STI1	STress Inducible	NA
YDR536W	STL1	Sugar Transporter-Like protein	Yeast7.6
YLR150W	STM1	Suppressor of ToM1	NA
YDR082W	STN1	Suppressor of cdc ThirteeN	NA
YMR125W	STO1	Suppressor of TOp1	NA
YDR463W	STP1	Species-specific tRNA Processing	NA
YHR006W	STP2	protein with similarity to Stp1p	NA
YCL008C	STP22	STerile Pseudoreversion	NA
YLR375W	STP3	protein with similarity to Stp1p	NA
YDL048C	STP4	protein with similarity to Stp1p	NA
YJR130C	STR2	Sulfur TRansfer	Yeast7.6
YGL184C	STR3	Sulfur TRansfer	Yeast7.6
YIR011C	STS1	Sec Twenty-three Suppressor 1	NA
YGL022W	STT3	STaurosporine and Temperature sensitive	NA
YLR305C	STT4	STaurosporine and Temperature sensitive	Yeast7.6
YBL034C	STU1	Suppressor of TUbulin	NA
YLR045C	STU2	Suppressor of TUbulin	NA
YMR054W	STV1	Similar To VPH1	Yeast7.6
YGL169W	SUA5	Suppressor of Upstream AUG	NA
YPR086W	SUA7	Suppressor of Upstream AUG	NA
YMR039C	SUB1	SUppressor of TFIIB mutations	NA
YDL084W	SUB2	SUppressor of Brr1-1	NA
YIL162W	SUC2	SUCrose	Yeast7.6
YPR151C	SUE1		NA
YNL244C	SUI1	SUppressor of Initiator codon	NA
YJR007W	SUI2	SUppressor of Initiator codon	NA
YPL237W	SUI3	SUppressor of Initiator codon	NA
YBR294W	SUL1	SULfate	Yeast7.6
YLR092W	SUL2	SULfate	Yeast7.6
YDR310C	SUM1	SUppresor of Mar1-1	NA
YNL066W	SUN4	Sim1 Uth1 Nca3	NA
YDR172W	SUP35	SUPpressor	NA
YBR143C	SUP45	SUPpressor	NA
YPL057C	SUR1	SUppressor of Rvs161 and rvs167 mutations	Yeast7.6
YDR297W	SUR2	SUppressor of Rvs161 and rvs167 mutations	Yeast7.6
YML052W	SUR7	SUppressor of Rvs167 mutation	NA
YBR111W-A	SUS1	Sl gene Upstream of ySa1	NA
YGL162W	SUT1	Sterol UpTake	NA
YPR009W	SUT2	Sterol UpTake	NA
YPL029W	SUV3	SUppressor of Var1	NA
YDR346C	SVF1	SurVival Factor	NA
YPL032C	SVL3	Styryl dye Vacuolar Localization	NA
YHR181W	SVP26	Sed5 Vesicle Protein	NA
YPL163C	SVS1	Suppressor of Vanadate Sensitivity	NA
YDR320C	SWA2	Synthetic lethal With Arf1	NA
YAL011W	SWC3	SWr Complex	NA
YGR002C	SWC4	SWr Complex	NA
YBR231C	SWC5	SWr Complex	NA
YLR385C	SWC7	SWr Complex	NA
YAR003W	SWD1	"Set1c, WD40 repeat protein"	NA
YKL018W	SWD2	"Set1c, WD40 repeat protein"	NA
YBR175W	SWD3	"Set1c, WD40 repeat protein"	NA
YJL187C	SWE1	Saccharomyces WEe1	NA
YDR126W	SWF1	Spore Wall Formation	NA
YAR042W	SWH1		NA
YPL016W	SWI1	SWItching deficient	NA
YJL176C	SWI3	SWItching deficient	NA
YER111C	SWI4	SWItching deficient	NA
YDR146C	SWI5	SWItching deficient	NA
YLR182W	SWI6	SWItching deficient	NA
YDR260C	SWM1	Spore Wall Maturation	NA
YNR004W	SWM2	Synthetic With mud2-delta	NA
YMR149W	SWP1	Suppressor of a WbP1 mutation	NA
YFL049W	SWP82	SWi/snf-associated Protein	NA
YDR334W	SWR1	SWi2/snf2-Related	NA
YNL081C	SWS2	Sick Without Securin	NA
YOR166C	SWT1	Synthetically lethal With Trex	NA
YNL187W	SWT21	Synthetic With Tgs1	NA
YDR395W	SXM1	Suppressor of mRNA eXport Mutant	NA
YOR179C	SYC1	Similar to Ysh1 C-terminal	NA
YDR416W	SYF1	SYnthetic lethal with cdcForty	NA
YGR129W	SYF2	SYnthetic lethal with cdc40 (Forty)	NA
YIL047C	SYG1	Suppressor of Yeast Gpa1	NA
YPL105C	SYH1	SmY2 Homolog	NA
YLR251W	SYM1	Stress-inducible Yeast Mpv17	NA
YAL014C	SYN8	SYNtaxin	NA
YDL063C	SYO1	SYnchronized impOrt or SYmpOrtin	NA
YCR030C	SYP1	Suppressor of Yeast Profilin deletion	NA
YJL004C	SYS1	Suppressor of Ypt Six	NA
YPR095C	SYT1	Suppressor of ypt3	NA
YGL243W	TAD1	tRNA-specific Adenosine Deaminase	NA
YJL035C	TAD2	tRNA-specific Adenosine Deaminase	NA
YLR316C	TAD3	tRNA-specific Adenosine Deaminase	NA
YBR261C	TAE1	Translation Associated Element	NA
YGR274C	TAF1	TATA binding protein-Associated Factor	NA
YDR167W	TAF10	TATA binding protein-Associated Factor	NA
YML015C	TAF11	TATA binding protein-Associated Factor	NA
YDR145W	TAF12	TATA binding protein-Associated Factor	NA
YML098W	TAF13	TATA binding protein-Associated Factor	NA
YPL129W	TAF14	TATA binding protein-Associated Factor	NA
YCR042C	TAF2	TATA binding protein-Associated Factor	NA
YPL011C	TAF3	TATA binding protein-Associated Factor	NA
YMR005W	TAF4	TATA binding protein-Associated Factor	NA
YBR198C	TAF5	TATA binding protein-Associated Factor	NA
YGL112C	TAF6	TATA binding protein-Associated Factor	NA
YMR227C	TAF7	TATA binding protein-Associated Factor	NA
YML114C	TAF8	TATA binding protein-Associated Factor	NA
YMR236W	TAF9	TATA binding protein-Associated Factor	NA
YCR060W	TAH1	Tpr-containing protein Associated with Hsp90	NA
YJR046W	TAH11	Topo-A Hypersensitive	NA
YPR048W	TAH18	Top1T722A mutant Hypersensitive	NA
YLR354C	TAL1	TransALdolase	Yeast7.6
YGR046W	TAM41	Translocator Assembly and Maintenance	NA
YGL232W	TAN1	Trna AcetylatioN	NA
YIL129C	TAO3	Transcriptional Activator of OCH1	NA
YMR028W	TAP42	Two A phosphatase Associated Protein	NA
YLR154W-C	TAR1	Transcript Antisense to Ribosomal RNA	NA
YBR069C	TAT1	Tyrosine and tryptophan Amino acid Transporter	Yeast7.6
YOL020W	TAT2	Tryptophan Amino acid Transporter	Yeast7.6
YJL083W	TAX4		NA
YPR140W	TAZ1	TAfaZzin	Yeast7.6
YPL128C	TBF1	TTAGGG repeat-Binding Factor	NA
YBR150C	TBS1	ThiaBendazole Sensitive	NA
YEL048C	TCA17	TRAPP Complex Associated protein	NA
YOR086C	TCB1	Three Calcium and lipid Binding domains (TriCalBins)	NA
YNL087W	TCB2	Three Calcium and lipid Binding domains (TriCalBins)	NA
YML072C	TCB3	Three Calcium and lipid Binding domains (TriCalBins)	NA
YHR003C	TCD1	tRNA ThreonylCarbamoyladenosine Dehydratase	NA
YKL027W	TCD2	tRNA ThreonylCarbamoyladenosine Dehydratase	NA
YBR044C	TCM62	TriCarboxylic acid cycle Mutant	NA
YPL180W	TCO89	Tor Complex One	NA
YDR212W	TCP1	Tailless Complex Polypeptide	NA
YMR291W	TDA1	Topoisomerase I Damage Affected	NA
YGR205W	TDA10	Topoisomerase I Damage Affected	NA
YHR159W	TDA11	Topoisomerase I Damage Affected	NA
YER071C	TDA2	Topoisomerase I Damage Affected	NA
YHR009C	TDA3	Topoisomerase I Damage Affected	NA
YJR116W	TDA4	Topoisomerase I Damage Affected	NA
YLR426W	TDA5	Topoisomerase I Damage Affected	NA
YPR157W	TDA6	Topoisomerase I Damage Affected	NA
YNL176C	TDA7	Topoisomerase I Damage Affected	NA
YAL064C-A	TDA8	Topoisomerase I Damage Affected	NA
YML081W	TDA9	Topoisomerase I Damage Affected	NA
YJL052W	TDH1	Triose-phosphate DeHydrogenase	Yeast7.6
YJR009C	TDH2	Triose-phosphate DeHydrogenase	Yeast7.6
YGR192C	TDH3	Triose-phosphate DeHydrogenase	Yeast7.6
YBR223C	TDP1	Tyrosyl-DNA Phosphodiesterase	NA
YOR337W	TEA1	Ty Enhancer Activator	NA
YBR083W	TEC1	Transposon Enhancement Control	NA
YIL039W	TED1	Trafficking of Emp24p/Erv25p-dependent cargo Disrupted	NA
YPR080W	TEF1	Translation Elongation Factor	NA
YBR118W	TEF2	Translation Elongation Factor	NA
YKL081W	TEF4	Translation Elongation Factor	NA
YBL088C	TEL1	TELomere maintenance	NA
YGR099W	TEL2	TELomere maintenance	NA
YML064C	TEM1	TErmination of M phase	NA
YLR010C	TEN1	TElomeric pathways with STn1	NA
YNL128W	TEP1	TEnsin-like Phosphatase	NA
YJR019C	TES1	ThioESterase	Yeast7.6
YNL253W	TEX1	TrEX component	NA
YKL028W	TFA1	"Transcription Factor a, subunit 1"	NA
YKR062W	TFA2	"Transcription Factor a, subunit 2"	NA
YDR311W	TFB1	Transcription Factor B	NA
YPL122C	TFB2	Transcription Factor B subunit 2	NA
YDR460W	TFB3	Transcription Factor B subunit 3	NA
YPR056W	TFB4	Transcription Factor B subunit 4	NA
YDR079C-A	TFB5		NA
YOR352W	TFB6		NA
YBR123C	TFC1	Transcription Factor class C	NA
YGR047C	TFC4	Transcription Factor class C	NA
YDR362C	TFC6	Transcription Factor C	NA
YOR110W	TFC7		NA
YPL007C	TFC8	Transcription Factor C	NA
YGR186W	TFG1	Transcription Factor G	NA
YGR005C	TFG2	Transcription Factor G	NA
YLR178C	TFS1	cdc Twenty-Five Suppressor	NA
YKL140W	TGL1	TriGlyceride Lipase	Yeast7.6
YDR058C	TGL2	TriacylGlycerol Lipase	Yeast7.6
YMR313C	TGL3	TriacylGlycerol Lipase	Yeast7.6
YKR089C	TGL4	TriacylGlycerol Lipase	Yeast7.6
YOR081C	TGL5	TriacylGlycerol Lipase	Yeast7.6
YPL157W	TGS1	TrimethylGuanosine Synthase	NA
YGR024C	THG1	tRNAHis Guanylyltransferase	NA
YJR156C	THI11	THIamine metabolism	NA
YNL332W	THI12	THIamine metabolism	NA
YDL244W	THI13	THIamine metabolism	NA
YBR240C	THI2	THIamine metabolism	NA
YOL055C	THI20	THIamine metabolism	Yeast7.6
YPL258C	THI21	THIamine metabolism	Yeast7.6
YPR121W	THI22	THIamine metabolism	Yeast7.6
YDL080C	THI3	THIamine metabolism	Yeast7.6
YGR144W	THI4	THIamine metabolism	NA
YFL058W	THI5	THIamine metabolism	NA
YPL214C	THI6	THIamine biosynthesis	Yeast7.6
YLR237W	THI7	THIamine metabolism	Yeast7.6
YOR192C	THI72	THI7 homolog 2	Yeast7.6
YLR004C	THI73	THI regulon	NA
YDR438W	THI74	THI regulon	NA
YOR143C	THI80	THIamine metabolism	Yeast7.6
YER063W	THO1	suppressor of the Transcriptional defect of Hpr1 by Overexpression	NA
YNL139C	THO2	suppressor of the Transcriptional defect of Hpr1 by Overexpression	NA
YOL072W	THP1	Tho2/Hpr1 Phenotype	NA
YHR167W	THP2	THO2 - HPR1 Phenotype	NA
YPR045C	THP3	THO-related Protein	NA
YHR025W	THR1	THReonine requiring	Yeast7.6
YCR053W	THR4	THReonine requiring	Yeast7.6
YIL078W	THS1	THreonyl tRNA Synthetase	Yeast7.6
YKR059W	TIF1	Translation Initiation Factor	NA
YMR260C	TIF11	Translation Initiation Factor	NA
YJL138C	TIF2	Translation Initiation Factor	NA
YPR163C	TIF3	Translation Initiation Factor	NA
YMR146C	TIF34	Translation Initiation Factor	NA
YDR429C	TIF35	Translation Initiation Factor	NA
YGR162W	TIF4631	Translation Initiation Factor	NA
YGL049C	TIF4632	Translation Initiation Factor	NA
YPR041W	TIF5	Translation Initiation Factor	NA
YPR016C	TIF6	Translation Initiation Factor	NA
YHR005C-A	TIM10	Translocase of the Inner Membrane	NA
YDR322C-A	TIM11	Translocase of the Inner Mitochondrial membrane	Yeast7.6
YBR091C	TIM12	Translocase of the Inner Membrane	NA
YGR181W	TIM13	Translocase of the Inner Mitochondrial membrane	NA
YJL143W	TIM17	Translocase of the Inner Mitochondrial membrane	NA
YOR297C	TIM18	Translocase of the Inner Mitochondrial membrane	NA
YGR033C	TIM21	Translocase of the Inner Mitochondrial membrane	NA
YDL217C	TIM22	Translocase of the Inner Mitochondrial membrane	NA
YNR017W	TIM23	Translocase of the Inner Mitochondrial membrane	NA
YIL022W	TIM44	Translocase of the Inner Mitochondrial membrane	NA
YPL063W	TIM50	Translocase of the Inner Mitochondrial membrane	NA
YJL054W	TIM54	Translocase of the Inner Mitochondrial membrane	NA
YJR135W-A	TIM8	Translocase of the Inner Mitochondrial membrane	NA
YEL020W-A	TIM9	Translocase of the Inner Mitochondrial membrane	NA
YBR067C	TIP1	Temperature shock-Inducible Protein	NA
YGL145W	TIP20	SEC20 (Twenty) Interacting Protein	NA
YPR040W	TIP41	Tap42 Interacting Protein	NA
YER011W	TIR1	TIp1-Related	NA
YOR010C	TIR2	TIp1-Related	NA
YIL011W	TIR3	TIp1-Related	NA
YOR009W	TIR4	TIp1-Related	NA
YLR136C	TIS11	similar to the mammalian TPA Induced Sequence gene family	NA
YPR074C	TKL1	TransKetoLase	Yeast7.6
YBR117C	TKL2	TransKetoLase	Yeast7.6
YDR468C	TLG1	T-snare affecting a Late Golgi compartment	NA
YOL018C	TLG2	T-snare affecting a Late Golgi compartment	NA
